# 전기안전관리법 조문 번호·제목.
#
# 전기사업법의 안전 관련 조항이 이 법으로 이관됐다(2020 제정 / 2021.4.1 시행).
# 리포는 구 전기사업법 번호를 그대로 이고 있어서 대조가 필요했다.
#
# 출처: 국가법령정보센터 lsiSeq=259649 (법률 제20194호, 2024.2.6 일부개정)
#       U-LEX 법률우주 244993-013718 로 교차 확인
# 확보: 2026-07-27
#
# 번호+제목만 담는다 — 본문·벌칙 금액은 없다. 그래서 조문 번호 대조는
# 되지만 과태료 액수 검증은 이 픽스처로 못 한다.
제1조	목적
제2조	정의
제3조	국가의 책무
제4조	다른 법률과의 관계
제5조	전기안전관리 기본계획 수립 등
제6조	전기안전자문기구의 설치
제7조	전기안전관리 관련 기술의 연구ㆍ개발
제8조	자가용전기설비의 공사계획의 인가 또는 신고
제9조	사용전검사
제10조	자가용전기설비의 임시사용
제11조	정기검사
제12조	일반용전기설비의 점검
제12조의2	관제센터의 설치ㆍ운영
제13조	여러 사람이 이용하는 시설 등에 대한 전기안전점검
제14조	공동주택 등의 안전점검
제15조	특별안전점검 및 응급조치
제16조	전기재해 예방을 위한 안전조치
제17조	안전등급 지정 등
제18조	검사ㆍ점검의 방법ㆍ절차 등
제19조	전기설비의 유지
제20조	적합명령
제21조	정보의 공개
제22조	전기안전관리자의 선임 등
제23조	전기안전관리자의 선임 및 해임신고 등
제24조	전기안전관리자의 성실의무 등
제25조	전기안전관리자의 교육 등
제26조	전기안전관리업무를 전문으로 하는 자 등의 등록
제27조	등록의 결격사유 및 취소 등
제28조	청문
제29조	전기안전관리업무에 대한 실태조사 등
제30조	한국전기안전공사의 설립
제31조	안전공사의 운영 등
제32조	임원
제33조	사업
제34조	다른 법률과의 관계
제35조	감독
제36조	유사명칭의 사용 금지
제37조	비밀 유지의 의무
제38조	전기안전종합정보시스템의 구축ㆍ운영 등
제39조	보고
제40조	중대한 사고의 통보ㆍ조사
제41조	전기재해통계의 작성
제42조	수수료 등
제43조	권한의 위임ㆍ위탁
제44조	관리ㆍ감독
제45조	벌칙 적용에서 공무원 의제
제46조	벌칙
제47조	벌칙
제48조	벌칙
제49조	벌칙
제50조	벌칙
제51조	양벌규정
제52조	과태료
